date,will5000_std,gdp_std,interest_rate,buffett_ind,profit_margin
1977-01-01,2.4197140268157455,13.51437418731207,0.0461,0.17904743447813418,0.060899999999999996
1977-04-01,2.384389734453472,13.971463788997637,0.0473,0.17066141175065355,0.0664
1977-07-01,2.4373761729968817,14.396633706778456,0.0542,0.16930181198187164,0.0702
1977-10-01,2.3137411497289246,14.70785911954951,0.0647,0.15731325211386663,0.0659
1978-01-01,2.3137411497289246,14.969427915268835,0.067,0.1545644337796574,0.0653
1978-04-01,2.56101119626484,15.845217871380457,0.0689,0.1616267581205383,0.06849999999999999
1978-07-01,2.7376326580762083,16.276204959572702,0.0781,0.16819846302476638,0.0693
1978-10-01,2.543349050083703,16.832750506318085,0.08960000000000001,0.1510952740093825,0.07
1979-01-01,2.790619096619619,17.170234735058468,0.1007,0.16252655480135555,0.0664
1979-04-01,2.94957841224985,17.609492262959478,0.1001,0.16749934456963947,0.06559999999999999
1979-07-01,3.0908755816989446,18.12813106139303,0.1047,0.1705016127272764,0.0634
1979-10-01,3.073213435517808,18.51085466329796,0.1377,0.1660222335174595,0.061
1980-01-01,3.4802838522640087,18.959096185689518,0.1382,0.1835680255101483,0.0545
1980-04-01,3.2178748232871195,19.01013234198601,0.1761,0.16927156346934427,0.0508
1980-07-01,3.8182348744312167,19.411972416282694,0.09029999999999999,0.1966948433961556,0.0499
1980-10-01,4.300348635407227,20.289128320119428,0.1281,0.21195334602634688,0.0521
1981-01-01,4.3869406895623655,21.231353624294243,0.19079999999999997,0.20662557683286634,0.053200000000000004
1981-04-01,4.537489459392056,21.49180791540203,0.1572,0.21112646629138535,0.054299999999999994
1981-07-01,4.47494558243894,22.158315651898892,0.19039999999999999,0.2019533277140337,0.0571
1981-10-01,4.160238250484138,22.295651162231234,0.1508,0.18659415776703436,0.0562
1982-01-01,4.111747630968654,22.251369991202207,0.1322,0.18478626855759286,0.052300000000000006
1982-04-01,4.0681810037218495,22.64328146039248,0.1494,0.1796639330230423,0.055099999999999996
1982-07-01,3.866327904508856,22.876715810430376,0.1259,0.16900712220003397,0.0536
1982-10-01,4.739342558605049,23.122987350780406,0.0971,0.20496238166411032,0.0526
1983-01-01,5.280140653579857,23.604480526002682,0.0868,0.2236923048470928,0.055999999999999994
1983-04-01,5.876196034464221,24.32099146330242,0.08800000000000001,0.24161005291789708,0.058499999999999996
1983-07-01,6.412242171061726,25.070774440712363,0.09369999999999999,0.25576562009384535,0.058899999999999994
1983-10-01,6.391173753831368,25.787910587916134,0.09480000000000001,0.24783604441478813,0.0613
1984-01-01,6.371829498490126,26.558196372722414,0.0956,0.2399195114407148,0.0635
1984-04-01,5.978636482314816,27.24828539581699,0.10289999999999999,0.21941330969884162,0.0626
1984-07-01,5.791501838252771,27.75558207110023,0.11230000000000001,0.20866079563443998,0.0634
1984-10-01,6.379106448987115,28.19255622369956,0.0999,0.22626917539405791,0.0645
1985-01-01,6.726869220533885,28.747205753453365,0.08349999999999999,0.23400080265977832,0.0632
1985-04-01,7.196904041523229,29.187020533660142,0.0827,0.24657892138128137,0.0635
1985-07-01,7.780978217617189,29.81145572107157,0.0788,0.2610063155056657,0.06480000000000001
1985-10-01,7.558630646127383,30.200995470082415,0.0799,0.2502775331897613,0.0601
1986-01-01,8.569352197157022,30.634564947008702,0.0814,0.2797282158888231,0.056100000000000004
1986-04-01,9.886787737304543,30.889038969469233,0.0699,0.32007430684640775,0.0524
1986-07-01,10.020859483315906,31.31261188369084,0.06559999999999999,0.32002630507278973,0.049
1986-10-01,9.862388843666968,31.652114453099678,0.058499999999999996,0.31158704604965654,0.0458
1987-01-01,10.954735905205105,32.09063803893943,0.0643,0.3413685914225952,0.0475
1987-04-01,12.004372021112665,32.66150904739893,0.0637,0.3675388055001292,0.0516
1987-07-01,12.778562762052491,33.19426263899198,0.0658,0.38496299499185205,0.0546
1987-10-01,11.602424391354067,34.03312443620677,0.0729,0.3409156397938772,0.0548
1988-01-01,10.440977714979036,34.47741762213917,0.0683,0.30283525957218194,0.0555
1988-04-01,11.207514859240375,35.2702381465299,0.0687,0.3177612471080816,0.0556
1988-07-01,11.641120547987285,35.90087786266285,0.0775,0.3242572672601448,0.0542
1988-10-01,11.99764358447223,36.69376634465185,0.083,0.32696680607224987,0.0564
1989-01-01,12.419852983659407,37.45315173069654,0.09119999999999999,0.3316103561313938,0.052000000000000005
1989-04-01,13.304011610941318,38.1409505827296,0.0984,0.348811747155705,0.052199999999999996
1989-07-01,14.65428268648922,38.70433266386038,0.0924,0.37862124671567965,0.052300000000000006
1989-10-01,15.423870565090942,39.056842317577,0.08839999999999999,0.39490828366710123,0.049100000000000005
1990-01-01,15.040120298064426,39.90946552844032,0.0823,0.3768559688514626,0.0506
1990-04-01,14.956305386186667,40.50291884680305,0.08259999999999999,0.36926487798958196,0.0524
1990-07-01,15.951441165306719,40.87728366412147,0.0815,0.390227523344647,0.047
1990-10-01,13.457019551227903,40.80672328984364,0.08109999999999999,0.3297745681672317,0.048600000000000004
1991-01-01,14.482959868532197,41.01362019775932,0.0691,0.3531256153126282,0.0555
1991-04-01,17.320945629910316,41.636682641685816,0.0591,0.4160020571035823,0.055
1991-07-01,17.439763704219786,42.17405734996083,0.0582,0.41351875536907484,0.0538
1991-10-01,18.079894334290675,42.57230926306916,0.0521,0.4246867188380291,0.0533
1992-01-01,19.81371671592986,43.24211294308184,0.0403,0.45820417568424554,0.0547
1992-04-01,19.394718616048344,43.97375124175521,0.0373,0.4410521747262744,0.0537
1992-07-01,19.710152313322286,44.62531510239375,0.0325,0.4416809666911464,0.051399999999999994
1992-10-01,19.807294117318534,45.40113263569875,0.031,0.4362731272863472,0.052199999999999996
1993-01-01,21.47010489778993,45.73178712581357,0.0302,0.469478807786871,0.0508
1993-04-01,21.838823225685655,46.271914116818294,0.0296,0.4719671455680709,0.0525
1993-07-01,22.4376540866842,46.769085109960145,0.030600000000000002,0.47975396640602197,0.0552
1993-10-01,23.621017880820375,47.66367893351151,0.029900000000000003,0.49557689228669344,0.056799999999999996
1994-01-01,24.122286410532634,48.35626200046238,0.0305,0.4988451425443509,0.0602
1994-04-01,22.98960722135236,49.24840255471639,0.0356,0.46680919641627455,0.061200000000000004
1994-07-01,23.14006081921641,49.820224969551596,0.0426,0.4644712229492905,0.0629
1994-10-01,23.99696927810457,50.66434668487205,0.047599999999999996,0.4736460814813953,0.0638
1995-01-01,24.11303481015204,51.119669389002745,0.0553,0.47169778479317437,0.0629
1995-04-01,26.291498970583838,51.51863485689285,0.0605,0.5103298843926221,0.0661
1995-07-01,29.15843713043879,52.21267221644658,0.058499999999999996,0.5584551775010304,0.0688
1995-10-01,30.761838873755448,52.82062768627891,0.0576,0.582383061717125,0.07
1996-01-01,32.27757214602755,53.47221872995676,0.0556,0.6036325574787619,0.0725
1996-04-01,34.569866403965094,54.589251364146854,0.052199999999999996,0.6332724032678327,0.0711
1996-07-01,34.26938054036393,55.259095818718485,0.054000000000000006,0.6201581845057174,0.0709
1996-10-01,37.38615594907158,56.131419937318626,0.0524,0.6660468591533995,0.0719
1997-01-01,40.619724917309036,56.830594891301146,0.0525,0.7147510068300649,0.0742
